Puertas,Kilómetros,Antigüedad,Cilindrada,Transmisión_Manual,vendedor_particular,squared_error,Marca,Modelo,combustible
5.0,450000.0,8.0,3.0,1.0,1.0,2768520325.2210846,Marca_Otros,Macan,Nafta
5.0,640000.0,9.0,2.0,1.0,0.0,2760293982.25,Marca_Otros,Macan,Nafta
5.0,1150000.0,6.0,3.0,0.0,0.0,2739545114.503479,Mercedes-Benz,Clase GLE,Nafta
5.0,790000.0,9.0,2.0,1.0,0.0,2735511257.9898415,Marca_Otros,Macan,Nafta
5.0,0.0,0.0,2.0,0.0,0.0,2719746357.6601562,Mercedes-Benz,Clase GLC,Nafta
5.0,0.0,0.0,2.0,0.0,0.0,2719746357.6601562,Mercedes-Benz,Clase GLC,Nafta
5.0,840000.0,9.0,3.0,1.0,0.0,2718341309.128189,Marca_Otros,Macan,Nafta
5.0,1100000.0,18.0,4.8,0.0,1.0,2699992610.8615723,BMW,X5,Nafta
5.0,200000.0,1.0,3.6,0.0,1.0,2699108120.7612457,Jeep,Grand Cherokee,Nafta
3.0,0.0,0.0,2.0,0.0,0.0,2675487343.958145,Jeep,Wrangler,Nafta
5.0,0.0,0.0,2.0,0.0,0.0,2668467038.2694244,Jeep,Wrangler,Nafta
5.0,610000.0,4.0,3.0,0.0,0.0,2602095021.4768066,Mercedes-Benz,Clase GLE,Nafta
5.0,460000.0,8.0,3.0,1.0,1.0,2594642038.5908356,Marca_Otros,Macan,Nafta
5.0,380000.0,8.0,2.0,1.0,0.0,2565278070.392227,Marca_Otros,Macan,Nafta
5.0,140000.0,3.0,3.0,0.0,0.0,2563792462.133789,Audi,Q8,Nafta
5.0,650000.0,13.0,3.0,0.0,0.0,2536705625.2041016,Audi,Q7,Nafta
5.0,430000.0,5.0,3.0,0.0,0.0,2523591331.5354004,Mercedes-Benz,Clase GLE,Nafta
5.0,380000.0,7.0,4.4,0.0,0.0,2520604781.640625,BMW,X6,Nafta
5.0,380000.0,7.0,4.4,0.0,0.0,2520604781.640625,BMW,X6,Nafta
5.0,1140000.0,8.0,3.0,0.0,0.0,2515431552.5686035,Marca_Otros,Range Rover Sport,Diésel
5.0,200000.0,1.0,3.6,0.0,0.0,2495822449.777237,Jeep,Grand Cherokee,Nafta
5.0,190000.0,1.0,3.6,0.0,0.0,2463862404.4311676,Jeep,Grand Cherokee,Nafta
5.0,550000.0,15.0,4.4,0.0,0.0,2449535480.5616107,BMW,X6,Nafta
5.0,550000.0,15.0,4.4,0.0,0.0,2449535480.5616107,BMW,X6,Nafta
5.0,340000.0,1.0,3.6,0.0,0.0,2445377448.23053,Jeep,Grand Cherokee,Nafta
5.0,12230.0,0.0,1.3,0.0,0.0,2409185754.138565,Jeep,Compass,Nafta
5.0,850000.0,13.0,3.0,0.0,0.0,2405684845.5478516,Audi,Q7,Nafta
5.0,0.0,0.0,3.0,0.0,0.0,2378918317.899414,Audi,Q7,Nafta
5.0,0.0,0.0,3.0,0.0,0.0,2378723225.274414,Audi,Q7,Nafta
5.0,0.0,0.0,3.0,0.0,0.0,2378528140.649414,Audi,Q7,Nafta
5.0,300000.0,4.0,3.0,0.0,0.0,2378415361.0,Audi,Q8,Nafta
5.0,150000.0,2.0,3.0,0.0,0.0,2376218977.258362,Mercedes-Benz,Clase GLE,Otros
5.0,530000.0,2.0,3.0,0.0,0.0,2346631905.4396973,Mercedes-Benz,Clase GLE,Nafta
5.0,520000.0,6.0,2.0,0.0,0.0,2325141653.0456696,BMW,X3,Nafta
5.0,1076000.0,13.0,5.7,0.0,0.0,2289211307.525635,Jeep,Grand Cherokee,Nafta
5.0,450000.0,4.0,3.0,0.0,1.0,2282081876.6135254,Mercedes-Benz,Clase GLE,Nafta
5.0,0.0,0.0,3.0,0.0,0.0,2278875619.3408813,Audi,Q8,Otros
5.0,0.0,0.0,3.0,0.0,0.0,2272062451.649414,Audi,Q7,Nafta
5.0,0.0,0.0,3.0,0.0,0.0,2269338105.2783813,Audi,Q8,Otros
2.0,11111110.0,39.0,5.8,0.0,0.0,2267226214.86129,Ford,Bronco,Nafta
5.0,1024650.0,9.0,4.5,0.0,0.0,2231798444.2886353,Toyota,Land Cruiser,Diésel
5.0,0.0,1.0,3.0,0.0,0.0,2187144981.6623535,Audi,Q7,Nafta
5.0,1970000.0,15.0,4.2,0.0,0.0,2185575283.221817,Audi,Q7,Nafta
