Puertas,Kilómetros,Precio_usd,Antigüedad,Cilindrada,Transmisión_Manual,vendedor_particular,combustible_Diésel,combustible_Nafta,combustible_Otros
5.0,600000.0,20000.0,3.0,1.5,0.0,1.0,0.0,0.0,1.0
5.0,0.0,49339.38545129339,0.0,2.8,0.0,0.0,1.0,0.0,0.0
5.0,1860000.0,12000.0,12.0,2.0,1.0,1.0,0.0,1.0,0.0
5.0,1100000.0,20248.72179943641,7.0,1.8,0.0,0.0,0.0,1.0,0.0
5.0,1567000.0,26154.5989909387,6.0,2.0,0.0,0.0,0.0,1.0,0.0
5.0,1630000.0,10500.0,17.0,2.0,0.0,1.0,0.0,1.0,0.0
5.0,587000.0,36500.0,7.0,2.0,1.0,0.0,0.0,1.0,0.0
5.0,1190000.0,16000.0,13.0,1.8,1.0,1.0,0.0,1.0,0.0
5.0,1250000.0,28263.840845046656,3.0,1.4,0.0,0.0,0.0,1.0,0.0
5.0,720000.0,16705.195484535037,8.0,1.8,0.0,0.0,0.0,1.0,0.0
5.0,660000.0,15186.541349577308,3.0,1.5,1.0,0.0,0.0,1.0,0.0
5.0,1454000.0,9500.0,14.0,1.4,1.0,1.0,1.0,0.0,0.0
5.0,0.0,44631.55763292442,1.0,2.0,0.0,0.0,0.0,1.0,0.0
5.0,900000.0,14500.0,9.0,1.6,1.0,0.0,0.0,1.0,0.0
5.0,780000.0,22800.0,5.0,1.6,0.0,0.0,0.0,1.0,0.0
5.0,1610000.0,11389.90601218298,11.0,1.6,1.0,0.0,0.0,1.0,0.0
5.0,0.0,30794.931069976206,1.0,1.3,0.0,0.0,0.0,1.0,0.0
5.0,0.0,26703.001873006768,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5.0,0.0,17548.89222617822,1.0,1.0,0.0,0.0,0.0,1.0,0.0
5.0,0.0,31461.451495874324,0.0,1.3,0.0,0.0,0.0,1.0,0.0
5.0,1700000.0,24500.0,13.0,3.6,0.0,1.0,0.0,1.0,0.0
5.0,700360.0,16873.934832863677,8.0,2.0,1.0,0.0,0.0,1.0,0.0
5.0,1730000.0,45900.0,12.0,3.6,0.0,1.0,0.0,1.0,0.0
5.0,370000.0,23201.660395187555,2.0,1.2,0.0,1.0,0.0,1.0,0.0
5.0,650000.0,48900.0,2.0,2.8,0.0,1.0,1.0,0.0,0.0
5.0,1100000.0,17042.674181192313,7.0,1.8,0.0,0.0,0.0,1.0,0.0
5.0,0.0,32500.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0
5.0,10000.0,59986.83833083037,0.0,2.8,0.0,0.0,1.0,0.0,0.0
5.0,1040000.0,25000.0,6.0,1.8,0.0,0.0,0.0,1.0,0.0
